treatment,timepoint,Material,description,Order,Order_rep_rel_abund,st_dev_Order_abund
no UV,T1,PP,PP_no UV_T1, Sphingobacteriales,9.9156740024781e-4,9.714280753679164e-4
UV,T6,PS,PS_UV_T6, Micavibrionales,2.851877851877852e-4,4.0344143485787707e-4
no UV,T6,PS,PS_no UV_T6, Nitrosococcales,0.0015785239761624513,0.0018523430930576597
no UV,T6,PP,PP_no UV_T6, Balneolales,3.447958785589497e-4,3.128933618582448e-4
UV,T6,PET,PET_UV_T6, Dadabacteriales,6.424636902693081e-4,9.181957441865521e-4
UV,T6,PS,PS_UV_T6, pItb-vmat-80,3.711027289897697e-4,5.43238770438774e-4
UV,T6,PP,PP_UV_T6, Synechococcales,0.0017427790507841357,4.805130627748175e-4
UV,T6,PP,PP_UV_T6, Coxiellales,7.625588695126398e-4,5.597702904092958e-4
no UV,T6,PE,PE_no UV_T6, SAR86 clade,0.003533878614804343,0.0025468846189493207
no UV,T6,PET,PET_no UV_T6, Blastocatellales,7.540728218896566e-4,0.0010697894356480409
UV,T1,PET,PET_UV_T1, Flavobacteriales,0.012699759276421542,0.00886575193975519
UV,T6,PE,PE_UV_T6, Myxococcales,0.0015616627207058436,8.064535128811273e-4
no UV,T1,PP,PP_no UV_T1, Cellvibrionales,0.016072803669956733,0.00785618861908801
no UV,T1,PET,PET_no UV_T1, Acidobacteriales,0.006356388709329887,0.009847275045302202
no UV,T1,PS,PS_no UV_T1, Phycisphaerales,0.002089378990133488,0.002956163620379957
no UV,T1,Nylon,Nylon_no UV_T1, Chitinophagales,0.007274439096027397,0.003970948386060307
no UV,T1,Nylon,Nylon_no UV_T1, Vibrionales,0.0016312725422409793,0.0023074073011823404
no UV,T6,PS,PS_no UV_T6, Microtrichales,0.004676279348693916,0.0037896177456180832
no UV,T6,PP,PP_no UV_T6, Chlamydiales,1.7578937119717362e-4,2.1225894521134582e-4
UV,T6,Nylon,Nylon_UV_T6, Fusobacteriales,3.6568213783403654e-4,5.181817993406993e-4
UV,T6,PET,PET_UV_T6, Lentisphaerales,0.003830996942153692,0.003444452698645025
UV,T6,PP,PP_UV_T6, NB1-j,0.001074679417312747,7.718274124697789e-4
no UV,T1,PP,PP_no UV_T1, Desulfobacterales,0.0013631094726078733,0.0014121906483988108
UV,T6,PET,PET_UV_T6, Cellvibrionales,0.03752233969378129,0.01837398929276242
UV,T1,Nylon,Nylon_UV_T1, Sphingobacteriales,0.0011660635303578607,0.001657455090820379
NA,NA,negative_c,negative_c_, SAR86 clade,7.714100630764955e-4,0.001228527978928435
no UV,T6,PE,PE_no UV_T6, Vibrionales,0.004073934932981717,0.0029655913515846473
no UV,T6,PP,PP_no UV_T6, Candidatus Kaiserbacteria,2.0348608663882606e-4,2.8907788216294696e-4
NA,NA,negative_c,negative_c_, SBR1031,3.82273068328392e-4,4.5648638738849084e-4
no UV,T6,Nylon,Nylon_no UV_T6, Blastocatellales,4.7289419400076653e-4,6.708864160540492e-4
UV,T6,Nylon,Nylon_UV_T6, Thermoanaerobaculales,0.0011703061231219827,0.0011066627220780946
UV,T6,Nylon,Nylon_UV_T6, Bradymonadales,0.001294273972199808,0.0010149653496552263
UV,T6,PE,PE_UV_T6, Rhodothermales,4.644445895833789e-4,6.586559857142401e-4
no UV,T1,PET,PET_no UV_T1, Anaerolineales,0.008653513326410522,0.012501127007868039
NA,NA,negative_c,negative_c_, WCHB1-41,1.6528680269588557e-4,2.1039667213516852e-4
NA,NA,negative_c,negative_c_, UBA10353 marine group,4.4576431641381976e-4,4.599630632207185e-4
UV,T6,Nylon,Nylon_UV_T6, SAR86 clade,0.0021170925184438596,5.08680307056184e-4
no UV,T1,Nylon,Nylon_no UV_T1, Gemmatimonadales,0.001436717101423248,0.0021031384861280294
UV,T6,PS,PS_UV_T6, Acanthopleuribacterales,6.978946843688206e-4,9.974165681009238e-4
no UV,T1,PP,PP_no UV_T1, Vibrionales,0.021211061693050957,0.01322130368230736
UV,T6,PS,PS_UV_T6, Kordiimonadales,4.436254436254436e-4,6.311492076368756e-4
UV,T6,Nylon,Nylon_UV_T6, Thiohalorhabdales,0.0013340167055469752,7.848725877399748e-4
no UV,T6,PET,PET_no UV_T6, Coxiellales,5.970091766087951e-4,8.479298824678037e-4
no UV,T6,Nylon,Nylon_no UV_T6, Myxococcales,0.0012882290112434674,0.001822904815416112
UV,T6,PE,PE_UV_T6, Verrucomicrobiales,0.00685406606864521,2.879656835154869e-4
UV,T6,Nylon,Nylon_UV_T6, Spirochaetales,5.192360739262361e-4,7.468639267649463e-4
no UV,T6,PP,PP_no UV_T6, Myxococcales,0.001385983535761288,0.0010068722499401803
NA,NA,negative_c,negative_c_, Rhodovibrionales,6.869432043800805e-4,7.291678086759106e-4
UV,T6,PS,PS_UV_T6, OM182 clade,0.0014625025465103737,0.001373383137220642
no UV,T6,Nylon,Nylon_no UV_T6, SBR1031,4.5658749765591246e-4,6.477524017073577e-4
UV,T6,PS,PS_UV_T6, Coxiellales,3.101754152750315e-4,4.4054097277452956e-4
UV,T6,PE,PE_UV_T6, Bacillales,9.725106021673066e-4,5.459717033166469e-4
UV,T6,PE,PE_UV_T6, Gammaproteobacteria Incertae Sedis,0.001581068512007687,7.891009007725455e-4
UV,T6,PET,PET_UV_T6, Corynebacteriales,0.009940436680931168,0.012057772851364014
no UV,T1,PET,PET_no UV_T1, Rhizobiales,0.04184985527025226,0.024671422429031246
UV,T1,PE,PE_UV_T1, Obscuribacterales,0.002862198787887641,0.0024286208075947366
NA,NA,negative_c,negative_c_, Lentisphaerales,4.923534506923055e-4,7.536363490428639e-4
UV,T1,PP,PP_UV_T1, Pirellulales,0.0027325526040178996,0.0038656018197647363
UV,T1,PP,PP_UV_T1, Cellvibrionales,0.0021905117416645492,0.002010681705252341
UV,T1,PET,PET_UV_T1, Verrucomicrobiales,0.0015633925618592345,0.002211435210171432
NA,NA,negative_c,negative_c_, Planctomycetales,0.0010226760275979581,0.0013682836899598684
UV,T1,PP,PP_UV_T1, Bacteroidales,0.0010758830810244692,0.0015224650581867369
UV,T1,PP,PP_UV_T1, Absconditabacteriales (SR1),5.427020851185375e-4,7.864500376395296e-4
UV,T1,PP,PP_UV_T1, Puniceispirillales,0.001475768827953918,0.002090610780434304
UV,T6,PP,PP_UV_T6, Actinomycetales,5.186928939073534e-4,7.360503702791353e-4
NA,NA,negative_c,negative_c_, SZB50,4.0653430830711677e-4,7.066664085788743e-4
UV,T6,PP,PP_UV_T6, PB19,0.0017646069625865935,0.0017887514197789682
no UV,T6,PET,PET_no UV_T6, SBR1031,5.681216358051439e-4,8.059838605831117e-4
no UV,T6,PP,PP_no UV_T6, Coxiellales,2.682316596602707e-4,3.8096841482708715e-4
no UV,T6,PP,PP_no UV_T6, Ktedonobacterales,2.1273545421331814e-4,3.073240696447068e-4
UV,T6,Nylon,Nylon_UV_T6, Vibrionales,0.004474596685149556,0.0025594804023707112
UV,T6,PS,PS_UV_T6, Kiritimatiellales,3.212531086777111e-4,4.591282615067745e-4
UV,T6,PE,PE_UV_T6, SBR1031,7.566506767264593e-4,9.782820027872377e-4
no UV,T1,PP,PP_no UV_T1, Rhodospirillales,0.004378444765661775,0.0015606835927531573
no UV,T1,PP,PP_no UV_T1, Rhodobacterales,0.023505547487587194,0.007295802082026135
no UV,T6,Nylon,Nylon_no UV_T6, Steroidobacterales,0.002201656744951499,0.0026294506208740477
no UV,T1,PE,PE_no UV_T1, Phycisphaerales,0.008396798239367197,0.010039450065414601
UV,T6,Nylon,Nylon_UV_T6, Sphingobacteriales,3.470882184709898e-4,2.775238085559122e-4
UV,T6,PP,PP_UV_T6, WCHB1-41,9.178026479855441e-4,9.004777416377686e-4
no UV,T6,Nylon,Nylon_no UV_T6, UBA10353 marine group,7.256479873460038e-4,0.0010314437588156817
UV,T6,Nylon,Nylon_UV_T6, Actinomarinales,6.095758935341485e-4,6.658434607439323e-4
no UV,T6,PP,PP_no UV_T6, Limnotrichales,2.9366742049012395e-4,4.192081442882097e-4
no UV,T6,PP,PP_no UV_T6, Pedosphaerales,1.1561709468115116e-4,1.656447039072517e-4
no UV,T6,PP,PP_no UV_T6, SAR11 clade,3.8384875434142185e-4,5.459910630545355e-4
UV,T6,PET,PET_UV_T6, Gammaproteobacteria Incertae Sedis,0.0022218783010329105,0.00264750172980343
UV,T1,PET,PET_UV_T1, Puniceispirillales,0.0015333273202850185,0.0021721495704491193
UV,T1,PE,PE_UV_T1, Arenicellales,0.005438921950043036,0.0019243016593454613
UV,T1,Nylon,Nylon_UV_T1, Caldilineales,0.001145958986731001,0.0016274258682072134
UV,T1,PET,PET_UV_T1, Selenomonadales,0.00611597429779248,0.008456523198903469
no UV,T6,PP,PP_no UV_T6, Oligoflexales,2.2816819593141291e-4,3.1024239662589767e-4
no UV,T1,Nylon,Nylon_no UV_T1, Coriobacteriales,0.0012716873702120837,9.239258695893142e-4
no UV,T6,PET,PET_no UV_T6, Oxyphotobacteria Incertae Sedis,0.0012323854636475647,8.799179691718464e-4
UV,T6,PET,PET_UV_T6, Obscuribacterales,0.0010848157393071923,0.0015366021210232658
UV,T6,PS,PS_UV_T6, Thalassobaculales,4.3211071389078794e-4,5.663680758909692e-4
UV,T6,PE,PE_UV_T6, Anaerolineales,3.6284733561201476e-4,5.241802324506094e-4
UV,T6,PE,PE_UV_T6, Thiotrichales,3.8730764126774305e-4,4.72154087946741e-4
no UV,T1,Nylon,Nylon_no UV_T1, Babeliales,0.004717948717948718,0.0073090147251504076
UV,T1,PP,PP_UV_T1, Coriobacteriales,7.898033661964159e-4,0.0011360451884424101
NA,NA,negative_c,negative_c_, Pasteurellales,1.600470302489312e-4,2.453162479248032e-4
UV,T6,PS,PS_UV_T6, SAR11 clade,1.0968760968760968e-4,1.560209690402694e-4
UV,T6,PE,PE_UV_T6, Lentisphaerales,5.665479744356204e-4,4.053349390012048e-4
no UV,T6,PET,PET_no UV_T6, Desulfuromonadales,5.392340950014924e-4,7.744160099713281e-4
UV,T6,Nylon,Nylon_UV_T6, Xanthomonadales,0.001479254974660404,0.001034997546907658
UV,T1,PP,PP_UV_T1, Myxococcales,0.0015328953632295535,0.0021691192441497297
no UV,T6,PET,PET_no UV_T6, Caedibacterales,0.0014984355540764733,0.0010821249917663247
no UV,T1,PE,PE_no UV_T1, Actinomarinales,7.831738653892321e-4,8.60156386288539e-4
no UV,T1,PE,PE_no UV_T1, Clostridiales,0.003919872491436594,0.0034107692782737787
UV,T6,PET,PET_UV_T6, Pirellulales,0.008776220877207528,0.0062748366201913226
no UV,T1,PP,PP_no UV_T1, Betaproteobacteriales,0.005541361669696242,0.004127028517648026
NA,NA,negative_c,negative_c_, Coxiellales,1.910078021069284e-4,3.319007124948056e-4
no UV,T6,PE,PE_no UV_T6, Phycisphaerales,0.001205596568983504,0.0010941034305541168
UV,T6,Nylon,Nylon_UV_T6, Gammaproteobacteria Incertae Sedis,0.0026326616303168943,9.215958563577138e-4
UV,T1,PP,PP_UV_T1, Alteromonadales,0.0026887086079281273,0.0027946114492400234
UV,T1,PP,PP_UV_T1, SAR11 clade,4.665333714176902e-4,6.636026521638587e-4
UV,T6,PE,PE_UV_T6, Vibrionales,0.011347788878596315,0.004854327176264564
no UV,T1,PP,PP_no UV_T1, Clostridiales,0.004256640173464869,0.001764680779122499
NA,NA,negative_c,negative_c_, Synechococcales,3.6241365266926733e-4,5.860842824709227e-4
no UV,T6,PET,PET_no UV_T6, Saccharimonadales,4.1405475151900313e-4,5.886356817434433e-4
no UV,T6,Nylon,Nylon_no UV_T6, OM182 clade,0.0016477935057933252,0.0011835535222144838
UV,T6,Nylon,Nylon_UV_T6, Desulfobacterales,0.0010271323441968282,0.0011962476369720124
no UV,T6,PP,PP_no UV_T6, Desulfobacterales,4.895313748827299e-4,3.810658508730654e-4
no UV,T6,PP,PP_no UV_T6, Rhodovibrionales,0.002018861774661488,0.001045165852822348
UV,T1,PP,PP_UV_T1, Gammaproteobacteria Incertae Sedis,8.759402075597447e-4,0.0012395405086392567
no UV,T1,Nylon,Nylon_no UV_T1, Pasteurellales,9.706441635075259e-4,0.001105122637431007
UV,T6,PE,PE_UV_T6, Thiohalorhabdales,5.801086855940736e-4,4.049646241172334e-4
UV,T1,PS,PS_UV_T1, Sphingomonadales,8.257293942982968e-4,8.257872407654454e-4
no UV,T1,PET,PET_no UV_T1, Bacteroidales,0.009473217914259872,0.010118103398928881
NA,NA,negative_c,negative_c_, Gammaproteobacteria Incertae Sedis,6.528410076524625e-4,6.639289222196006e-4
UV,T6,PP,PP_UV_T6, Bacteroidales,0.0013600567130211973,0.0018738632238681787
no UV,T1,PS,PS_no UV_T1, Betaproteobacteriales,0.012728493562471207,0.0056882829832722295
UV,T6,Nylon,Nylon_UV_T6, Alteromonadales,0.0046906963512614785,0.0017257353287109917
no UV,T6,PP,PP_no UV_T6, Campylobacterales,4.922199118022279e-4,7.110757678573595e-4
UV,T6,PE,PE_UV_T6, Piscirickettsiales,6.478466790220981e-4,5.974698578799187e-4
UV,T1,PS,PS_UV_T1, Enterobacteriales,0.0030051062221045305,0.002389934415512278
no UV,T6,PP,PP_no UV_T6, Steroidobacterales,0.0011110889445193589,0.0012979535480198382
no UV,T6,PS,PS_no UV_T6, Clostridiales,0.00186791290455497,0.0011979528003799847
UV,T6,PP,PP_UV_T6, Puniceispirillales,7.748940067584485e-4,8.015361224277743e-4
no UV,T6,PET,PET_no UV_T6, Thermoanaerobaculales,0.0011073557308066363,0.0015678788074389328
UV,T1,PET,PET_UV_T1, Micrococcales,0.010565558807972117,0.0058494304459729305
UV,T6,PE,PE_UV_T6, Corynebacteriales,0.002365761122546908,0.0013241088135309085
no UV,T1,PP,PP_no UV_T1, Arenicellales,0.0016645545553470658,0.001177170953600591
no UV,T1,PP,PP_no UV_T1, Nostocales,0.001109029197376358,0.0011604613142659557
no UV,T1,PET,PET_no UV_T1, Caedibacterales,0.005817711700064641,0.008355052330129648
UV,T6,PS,PS_UV_T6, Thiohalorhabdales,2.216652809083416e-4,2.3152663289116243e-4
no UV,T6,PS,PS_no UV_T6, Thermomicrobiales,7.482875726702354e-4,0.0011224313590053531
UV,T6,PP,PP_UV_T6, KI89A clade,0.0025450641455184242,0.00236477377133602
no UV,T6,Nylon,Nylon_no UV_T6, NB1-j,4.484341494834855e-4,6.352971919079414e-4
UV,T6,Nylon,Nylon_UV_T6, Steroidobacterales,0.002127084611656594,0.0014244247871634734
no UV,T6,PP,PP_no UV_T6, Puniceispirillales,6.611071605472482e-4,5.889382451601263e-4
no UV,T6,PP,PP_no UV_T6, EV818SWSAP88,9.943070142579e-5,1.4302011712385033e-4
UV,T6,PP,PP_UV_T6, SAR86 clade,0.0024223173759399877,7.348143923268698e-4
no UV,T1,PS,PS_no UV_T1, Verrucomicrobiales,0.004423267604195204,0.00597172791929091
UV,T6,PE,PE_UV_T6, Planctomycetales,6.950398835970591e-4,9.848452977171734e-4
no UV,T6,PS,PS_no UV_T6, NRL2,6.238427587330379e-4,6.409234858909896e-4
no UV,T6,Nylon,Nylon_no UV_T6, Thalassobaculales,4.076674086213504e-4,5.783503586672837e-4
no UV,T1,Nylon,Nylon_no UV_T1, Chlamydiales,5.836663224531945e-4,8.323945967368386e-4
UV,T6,PET,PET_UV_T6, Sphingobacteriales,6.635280735568264e-4,9.431458533665708e-4
UV,T6,PP,PP_UV_T6, Rhodovibrionales,0.001761277502294974,7.05583223779573e-5
UV,T6,PP,PP_UV_T6, Ardenticatenales,8.951167044545745e-4,4.4946004066096266e-4
UV,T6,PET,PET_UV_T6, Frankiales,0.0021764364480557166,0.0031256688805161937
no UV,T1,PET,PET_no UV_T1, Chitinophagales,0.013361516154142451,0.008797518520997088
UV,T1,PS,PS_UV_T1, SAR86 clade,0.0017498565691336774,0.0017509219309182983
NA,NA,negative_c,negative_c_, SAR324 clade(Marine group B),3.905467899014228e-4,4.964532149227856e-4
no UV,T6,PP,PP_no UV_T6, Thalassobaculales,3.2153545546733937e-4,4.561565189198327e-4
UV,T6,Nylon,Nylon_UV_T6, Corynebacteriales,6.757673837729755e-4,9.360179265137356e-4
no UV,T6,PE,PE_no UV_T6, Synechococcales,8.862906489903563e-4,0.0011149986206511987
UV,T6,PP,PP_UV_T6, Balneolales,4.1495497738495366e-4,5.880313595768523e-4
UV,T6,Nylon,Nylon_UV_T6, SAR324 clade(Marine group B),8.300155559519351e-4,9.243387764437852e-4
no UV,T1,PS,PS_no UV_T1, Micrococcales,0.009818938568784328,0.007844352842224565
UV,T1,PP,PP_UV_T1, Ga0077536,7.045606017328382e-4,9.994887756931182e-4
no UV,T1,Nylon,Nylon_no UV_T1, Verrucomicrobiales,0.0015714093296816775,0.002222775012513357
UV,T6,PET,PET_UV_T6, Clostridiales,7.970486792882444e-4,5.638945043664156e-4
UV,T6,PE,PE_UV_T6, Desulfobacterales,7.078812697977495e-4,3.3585389428041757e-4
UV,T6,PE,PE_UV_T6, Lactobacillales,0.0015526395763716396,8.415079792061988e-4
UV,T6,PE,PE_UV_T6, Bacteroidales,0.001557957266957756,9.754137202191704e-4
UV,T6,PE,PE_UV_T6, PB19,6.718097303134332e-4,2.9745794457811076e-4
no UV,T1,PP,PP_no UV_T1, KI89A clade,0.001647540468221472,0.0018759664396184293
no UV,T1,PS,PS_no UV_T1, Chloroflexales,0.0030796660993597535,0.004462860169828987
no UV,T1,Nylon,Nylon_no UV_T1, Corynebacteriales,0.006434859804041303,0.0027505181041647874
NA,NA,negative_c,negative_c_, Calditrichales,1.6735148337986849e-4,1.6825308976091985e-4
UV,T6,PP,PP_UV_T6, Steroidobacterales,0.0026065319402186317,0.001133366910855418
UV,T6,PP,PP_UV_T6, EC3,3.922691178185596e-4,5.633536304027307e-4
UV,T6,PP,PP_UV_T6, Oligoflexales,5.30093402457513e-4,7.510891460401028e-4
no UV,T6,Nylon,Nylon_no UV_T6, Corynebacteriales,0.002729830285514894,0.0019590571854924714
UV,T1,PP,PP_UV_T1, PB19,3.7132247929163095e-4,5.282832442328192e-4
UV,T1,PP,PP_UV_T1, Selenomonadales,4.665333714176902e-4,6.636026521638587e-4
no UV,T6,PET,PET_no UV_T6, Francisellales,3.977526972604782e-4,5.721234642096762e-4
UV,T6,PET,PET_UV_T6, Rhodospirillales,0.002864196843653788,0.0024431070501330157
no UV,T1,PP,PP_no UV_T1, Bdellovibrionales,0.0028798605695074804,0.001011618157376877
NA,NA,negative_c,negative_c_, SAR11 clade,2.1431417981300792e-4,2.98127883486875e-4
UV,T6,Nylon,Nylon_UV_T6, Lentisphaerales,5.848015813686937e-4,4.146734251841916e-4
no UV,T6,PS,PS_no UV_T6, Rhodovibrionales,0.0011094269920101888,4.966266435950198e-4
no UV,T6,PET,PET_no UV_T6, Micavibrionales,8.473678635737738e-4,0.0011987305364693417
no UV,T6,Nylon,Nylon_no UV_T6, Bradymonadales,0.0011740821368294893,0.0016630447331635243
no UV,T6,Nylon,Nylon_no UV_T6, SS1-B-02-17,7.908747727254198e-4,0.0011239891513659835
UV,T6,Nylon,Nylon_UV_T6, SS1-B-02-17,9.850926027848974e-4,7.409391954693446e-4
no UV,T1,PP,PP_no UV_T1, Phycisphaerales,0.0010534516519434384,0.001051189759578059
UV,T1,Nylon,Nylon_UV_T1, Bacteroidales,0.003953633957109657,0.004927727065887098
no UV,T6,PE,PE_no UV_T6, Bradymonadales,5.457671619918456e-4,5.600117362976985e-4
UV,T6,PP,PP_UV_T6, Clostridiales,0.0012352886659888211,0.001273974693708453
no UV,T6,Nylon,Nylon_no UV_T6, Micromonosporales,3.8320736410406937e-4,5.660347896219592e-4
no UV,T1,PS,PS_no UV_T1, Oligoflexales,0.0015863803443606113,0.0022477417236599455
UV,T1,PP,PP_UV_T1, SAR324 clade(Marine group B),3.332381224412073e-4,4.728810560064955e-4
UV,T1,PP,PP_UV_T1, Bdellovibrionales,9.140245644101686e-4,0.0012928987275542397
UV,T1,PP,PP_UV_T1, Opitutales,7.331238693706561e-4,0.0010371018758193772
no UV,T1,PE,PE_no UV_T1, Lactobacillales,0.009657661163275376,0.004458800863018894
UV,T1,PET,PET_UV_T1, Betaproteobacteriales,0.01948384410030728,0.015674537594135746
UV,T1,PET,PET_UV_T1, Lactobacillales,0.028578874033419487,0.031596801374502666
no UV,T6,PS,PS_no UV_T6, Kordiimonadales,3.7414378633511775e-4,5.322971386804525e-4
no UV,T6,PE,PE_no UV_T6, Bacteroidales,6.400165998612697e-4,5.37376833808606e-4
UV,T1,PE,PE_UV_T1, Ktedonobacterales,0.001867311072056239,0.0019285505824700084
UV,T6,PE,PE_UV_T6, Betaproteobacteriales,0.0033589159494596278,0.0019688371628664076
UV,T6,PE,PE_UV_T6, Clostridiales,0.001455078687568909,0.0013906683355284707
UV,T6,PE,PE_UV_T6, Propionibacteriales,0.002385530563066144,0.0013611668633198393
UV,T1,PE,PE_UV_T1, Caulobacterales,0.011002838720084798,0.004814649085092652
UV,T1,Nylon,Nylon_UV_T1, Betaproteobacteriales,0.010629361493062746,0.010598879352344354
no UV,T1,PE,PE_no UV_T1, Chitinophagales,0.01606054681930212,0.02101830271742779
no UV,T1,PE,PE_no UV_T1, Bacteroidales,0.0059557796009027655,0.0067808622461231136
NA,NA,negative_c,negative_c_, Hydrogenedentiales,8.314457268183943e-5,1.4584522846492682e-4
UV,T6,PP,PP_UV_T6, Kiritimatiellales,6.592310973882754e-4,4.772285966797072e-4
UV,T1,PP,PP_UV_T1, JTB23,5.331809959059317e-4,7.631719086651552e-4
no UV,T6,PE,PE_no UV_T6, Chlamydiales,5.385682163967095e-4,7.6807802002105e-4
no UV,T1,PP,PP_no UV_T1, Streptosporangiales,6.912915942678848e-4,0.0010369373914018271
no UV,T1,PP,PP_no UV_T1, Alteromonadales,0.004210500162230923,0.002230992436549551
UV,T1,PE,PE_UV_T1, Bacteroidales,0.0031854130052724077,0.003188355650708485
UV,T6,PE,PE_UV_T6, Bradymonadales,8.855292130900635e-4,4.993090796196548e-4
no UV,T1,PP,PP_no UV_T1, SZB50,8.911332244170504e-4,0.0012662971039480286
no UV,T1,PET,PET_no UV_T1, Micrococcales,0.012489821067716334,0.004746615432858755
no UV,T1,PET,PET_no UV_T1, Bdellovibrionales,0.003555268261150614,0.005028969668798615
UV,T6,Nylon,Nylon_UV_T6, Rickettsiales,0.0011307807012193717,1.6577570309466135e-4
no UV,T6,PS,PS_no UV_T6, OM182 clade,0.003518611236661698,0.0021110594902791387
no UV,T6,PE,PE_no UV_T6, Hydrogenedentiales,2.222010602164873e-4,3.1961176177484896e-4
no UV,T6,PET,PET_no UV_T6, Acanthopleuribacterales,3.3702130937593276e-4,4.816638459979658e-4
no UV,T6,Nylon,Nylon_no UV_T6, Vibrionales,0.0037585576731647336,0.004823722286546131
no UV,T6,PP,PP_no UV_T6, Immundisolibacterales,8.324430817042884e-5,1.2063246316735802e-4
UV,T6,Nylon,Nylon_UV_T6, Balneolales,6.721516910580049e-4,5.794575680168966e-4
UV,T6,PET,PET_UV_T6, Acanthopleuribacterales,3.3703013260029277e-4,4.816764559667159e-4
UV,T6,PET,PET_UV_T6, Enterobacteriales,0.00343046563027089,0.003973021259874916
no UV,T6,PS,PS_no UV_T6, Solirubrobacterales,0.001968503937007874,0.002813344885868096
UV,T1,PET,PET_UV_T1, Actinomycetales,0.006300160845615391,0.008517647142837877
NA,NA,negative_c,negative_c_, Thermoanaerobaculales,8.718444735738039e-4,0.0011468760228341068
NA,NA,negative_c,negative_c_, JGI 0000069-P22,9.034095740158151e-5,1.6343294121955984e-4
no UV,T6,PP,PP_no UV_T6, Rhodothermales,2.2878484331329915e-4,3.244531422449622e-4
no UV,T6,PE,PE_no UV_T6, Coxiellales,4.020503283279378e-4,3.137933846993296e-4
no UV,T6,Nylon,Nylon_no UV_T6, Rhodovibrionales,0.0015250651676472237,0.0012815617144824125
no UV,T1,PS,PS_no UV_T1, Cellvibrionales,0.0025088420773818104,0.0027075543296091733
UV,T6,PE,PE_UV_T6, OM182 clade,0.0019913755802730996,0.0014042368001879358
no UV,T1,Nylon,Nylon_no UV_T1, NB1-j,0.00317948717948718,0.004504383261538145
UV,T1,Nylon,Nylon_UV_T1, Obscuribacterales,0.00423728813559322,0.0060019648504523624
NA,NA,negative_c,negative_c_, Leptospirales,6.96616690037033e-5,1.260227009210262e-4
NA,NA,negative_c,negative_c_, Puniceispirillales,2.7645952075018685e-4,2.8332008736649917e-4
NA,NA,negative_c,negative_c_, Methylacidiphilales,1.1358733975926466e-4,1.8344970532693723e-4
no UV,T6,PP,PP_no UV_T6, Nitrosococcales,9.552028369820545e-4,0.0012563142304647835
no UV,T6,PP,PP_no UV_T6, Thermoanaerobaculales,4.6993643491380366e-4,6.653718914770462e-4
UV,T6,PE,PE_UV_T6, Synechococcales,8.486027363420351e-4,9.936174806734544e-4
no UV,T6,PE,PE_no UV_T6, Gaiellales,2.158524584960163e-4,3.110765010593065e-4
no UV,T6,PE,PE_no UV_T6, Pirellulales,7.25616430103296e-4,5.76318371638873e-4
no UV,T6,PE,PE_no UV_T6, Thermoanaerobaculales,4.888423324762722e-4,6.921403050041185e-4
no UV,T1,PS,PS_no UV_T1, Arenicellales,0.0060843760535943285,0.004459788313946747
no UV,T1,Nylon,Nylon_no UV_T1, Blastocatellales,4.639398973345905e-4,6.581831177795819e-4
UV,T6,PET,PET_UV_T6, Micavibrionales,6.003349236942715e-4,8.492649250423949e-4
UV,T6,PET,PET_UV_T6, Ardenticatenales,0.0023145973468253946,0.0017905534720916176
UV,T6,PET,PET_UV_T6, PB19,3.1596574931277445e-4,4.495268140831039e-4
UV,T6,PE,PE_UV_T6, Rickettsiales,3.8727713145374237e-4,3.3678201869248136e-4
UV,T6,PE,PE_UV_T6, KI89A clade,0.0016285374957986888,7.642950910010423e-4
no UV,T1,Nylon,Nylon_no UV_T1, Arenicellales,0.012,0.016972433710695324
no UV,T1,PET,PET_no UV_T1, Cytophagales,0.01709256228924506,0.011799746987175017
no UV,T1,PE,PE_no UV_T1, SAR11 clade,0.0029756369722893808,0.004232581649384648
NA,NA,negative_c,negative_c_, NB1-j,4.839547706547805e-4,6.568868270771962e-4
UV,T6,Nylon,Nylon_UV_T6, Clostridiales,4.7356047967666805e-4,1.853956010886857e-4
no UV,T6,PE,PE_no UV_T6, Rhodospirillales,0.002154652135366883,0.0015373481409854373
UV,T6,PP,PP_UV_T6, Chthoniobacterales,3.074541734253575e-4,5.325262493718122e-4
no UV,T6,Nylon,Nylon_no UV_T6, Campylobacterales,2.935205342073723e-4,4.2402863890494253e-4
no UV,T1,PS,PS_no UV_T1, Rhodospirillales,0.001490531662903482,0.0016397462871354338
UV,T6,Nylon,Nylon_UV_T6, Rhodovibrionales,0.0016326589128021103,0.001187763299459223
UV,T1,PP,PP_UV_T1, Vibrionales,0.0016376273445682186,0.002316396061127566
no UV,T6,PET,PET_no UV_T6, Bifidobacteriales,6.71207676627057e-4,9.54733833956915e-4
UV,T6,PS,PS_UV_T6, Chromatiales,4.358157232403257e-4,4.0009403414291916e-4
UV,T1,PP,PP_UV_T1, Enterobacteriales,9.461274008729386e-4,3.5798079014609296e-4
UV,T6,PE,PE_UV_T6, Actinomarinales,7.573509039639967e-4,7.428649508527085e-4
no UV,T1,PET,PET_no UV_T1, Corynebacteriales,0.018705872401496605,0.012019062291229031
NA,NA,negative_c,negative_c_, Bacteroidetes VC2.1 Bac22,6.516736777765793e-5,1.2066651787565165e-4
NA,NA,negative_c,negative_c_, Paracaedibacterales,9.070589725966103e-5,1.4886372295385358e-4
NA,NA,negative_c,negative_c_, Piscirickettsiales,8.314457268183943e-5,1.4445169917883275e-4
NA,NA,negative_c,negative_c_, Rhodothermales,5.479073281614072e-4,6.873034407601048e-4
