treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
NA,NA,negative_c,negative_c_, Rhizobium tarimense,1.4417650499674574e-5,2.8835300999349148e-5
NA,NA,negative_c,negative_c_, Micrococcus sp. DW-1,1.666405837926817e-5,2.9021150358572522e-5
NA,NA,negative_c,negative_c_, Delftia sp.,5.796194218875886e-6,1.030010742247461e-5
UV,T6,PS,PS_UV_T6, Nautella sp.,4.352857893458545e-5,1.560218164634886e-5
UV,T6,PS,PS_UV_T6, Altererythrobacter sp. CC-AMWO-103A,9.912631720688475e-5,7.106288093458184e-5
UV,T6,PS,PS_UV_T6, Jannaschia rubra,1.4625014625014624e-5,2.265697523228862e-5
UV,T6,PS,PS_UV_T6, alpha proteobacterium TH1,1.4625014625014624e-5,2.119365968496174e-5
UV,T6,PS,PS_UV_T6, Nautella italica,1.4625014625014624e-5,2.1937521937521936e-5
UV,T6,PS,PS_UV_T6, Tenacibaculum sp. SG-28,4.7858094833053704e-5,4.2613554535505893e-5
UV,T6,PS,PS_UV_T6, Jannaschia seosinensis,1.3896013401475506e-4,3.147767457278634e-5
no UV,T6,PP,PP_no UV_T6, Enterovibrio sp. EF4A-CB187,9.888259901581902e-5,1.067383546443243e-4
no UV,T6,PP,PP_no UV_T6, Stenotrophomonas maltophilia,2.50246797329525e-4,2.313073529880655e-4
no UV,T6,PP,PP_no UV_T6, Pseudoalteromonas sp. NBRC 101808,3.710024486161608e-5,5.7475452195702555e-5
no UV,T6,PP,PP_no UV_T6, Ulvibacter litoralis,3.710024486161608e-5,5.480069346857582e-5
no UV,T6,PP,PP_no UV_T6, bacterium K2-12,4.946699314882144e-5,7.306759129143443e-5
no UV,T6,PP,PP_no UV_T6, bacterium 1H118,6.414608332964983e-5,8.707566468404492e-5
no UV,T6,PP,PP_no UV_T6, Flavobacteriaceae bacterium MAR_2010_118,3.710024486161608e-5,5.7475452195702555e-5
no UV,T6,PP,PP_no UV_T6, Roseovarius pacificus,3.710024486161608e-5,5.376336256655575e-5
UV,T6,PE,PE_UV_T6, Malonomonas rubra,5.196559877361189e-5,8.050475945035814e-5
UV,T6,PE,PE_UV_T6, Thalassolituus oleivorans,5.846129862031338e-5,8.635306094114855e-5
UV,T6,PE,PE_UV_T6, Carcinus maenas (green crab),4.326243956796327e-4,2.2059775000494194e-4
UV,T6,PE,PE_UV_T6, Lutimaribacter saemankumensis,5.229049181375553e-4,1.261120182812529e-4
UV,T6,PE,PE_UV_T6, Ruegeria sp. URN111,9.474603218151485e-5,7.341267708250845e-5
UV,T6,PE,PE_UV_T6, Oceanicola granulosus HTCC2516,8.767176973215908e-5,4.924756057547148e-5
UV,T6,PE,PE_UV_T6, Rhodovulum mangrovi,1.2279937808805198e-4,7.539619543374793e-5
UV,T6,PE,PE_UV_T6, Pseudoruegeria litorea,7.46803700387561e-5,3.173419773695225e-5
UV,T6,PE,PE_UV_T6, Roseobacter sp. LA9,2.5053160589510586e-4,1.8861318993823652e-4
UV,T6,Nylon,Nylon_UV_T6, filamentous cyanobacterium 73-2,4.632772678121002e-5,4.22469015477333e-5
UV,T6,Nylon,Nylon_UV_T6, Grimontia indica,6.893699158968702e-5,9.934877872920063e-5
UV,T6,Nylon,Nylon_UV_T6, Arenicella chitinivorans,3.58260740110904e-4,2.2915720907030172e-4
UV,T6,Nylon,Nylon_UV_T6, Pseudoroseobacter euryhalinus,7.52627171858148e-5,1.6588907429608337e-5
UV,T6,Nylon,Nylon_UV_T6, Stanieria cyanosphaera SAG 33.87,4.163949424487622e-5,3.527617641708345e-5
UV,T6,Nylon,Nylon_UV_T6, Leptolyngbya sp. PCC 6406,5.5519325659834956e-5,4.661305568305185e-5
UV,T6,Nylon,Nylon_UV_T6, gamma proteobacterium GMD38C3,5.514959327174962e-5,8.543738251663955e-5
UV,T6,Nylon,Nylon_UV_T6, Lutimaribacter saemankumensis,1.8100112548486856e-4,1.2105959230168098e-5
UV,T6,Nylon,Nylon_UV_T6, alpha proteobacterium CPCC 100088,2.757479663587481e-5,4.271869125831978e-5
no UV,T6,PS,PS_no UV_T6, Bradyrhizobium sp. SUT-PR9,1.8007915648430323e-4,1.2932588556772043e-4
no UV,T6,PS,PS_no UV_T6, Altererythrobacter sp. CJ46,8.634087376964255e-5,1.247306369391496e-4
no UV,T6,PS,PS_no UV_T6, Octadecabacter sp. UDC483,1.4390145628273758e-4,2.0580698265532557e-4
no UV,T6,PS,PS_no UV_T6, Stenotrophomonas sp. LGMB235,9.840010717016443e-5,8.348017820934024e-5
no UV,T6,PE,PE_no UV_T6, Hanstruepera neustonica,5.71374154842396e-5,8.85169034463175e-5
no UV,T6,PE,PE_no UV_T6, Ilumatobacter nonamiensis YM16-303,1.2369144056485268e-4,9.222382695367766e-5
no UV,T6,PE,PE_no UV_T6, Alphaproteobacteria bacterium,1.0234462949651268e-4,1.1900424284085546e-4
no UV,T6,PE,PE_no UV_T6, Granulosicoccus sp. ZS4-22,3.80916103228264e-5,5.901126896421166e-5
no UV,T6,PE,PE_no UV_T6, Roseivivax lentus,5.71374154842396e-5,8.31471526645842e-5
no UV,T6,PE,PE_no UV_T6, Roseinatronobacter sp. 3.5P10,6.502002114266188e-5,5.254400566471647e-5
no UV,T6,PE,PE_no UV_T6, Grimontia hollisae,1.363886440057948e-4,1.0623919074527145e-4
no UV,T6,PE,PE_no UV_T6, Thalassobius aestuarii,2.0929127080687897e-4,1.4856338402454705e-4
no UV,T6,PE,PE_no UV_T6, Jannaschia seohaensis,1.2369144056485268e-4,9.81797611138847e-5
no UV,T6,PE,PE_no UV_T6, Leclercia adecarboxylata,3.80916103228264e-5,6.597660442125044e-5
no UV,T6,PE,PE_no UV_T6, Lutimaribacter saemankumensis,2.395002754712831e-4,1.9582008580729048e-4
no UV,T6,PE,PE_no UV_T6, alpha proteobacterium SCGC AAA536-K22,1.0541263737241507e-4,1.0127277715791322e-4
no UV,T6,PE,PE_no UV_T6, Kaistia sp. 30-Lb0410,3.80916103228264e-5,6.597660442125044e-5
no UV,T6,PE,PE_no UV_T6, Alteromonas sp. JDTF-113,5.155581573274414e-5,5.018575755811831e-5
no UV,T6,PE,PE_no UV_T6, Gammaproteobacteria bacterium LSN-49,8.888042408659495e-5,1.333206361298924e-4
no UV,T6,PE,PE_no UV_T6, Rhodobacteraceae bacterium JAMH 0111,1.562014511361836e-4,1.1429850014440416e-4
no UV,T6,PET,PET_no UV_T6, Bacteroidetes bacterium JS5,1.0592098294672173e-4,1.5069456772498843e-4
no UV,T6,PET,PET_no UV_T6, Parvularcula lutaonensis,1.636960645540245e-4,2.3355902346524558e-4
no UV,T6,PET,PET_no UV_T6, Labrenzia marina,6.740426187518655e-5,9.737423480953109e-5
no UV,T6,PET,PET_no UV_T6, Sulfitobacter sp. NSA_11,5.7775081607302765e-5,8.310309411307464e-5
no UV,T6,PET,PET_no UV_T6, gamma proteobacterium NEP3,5.7775081607302765e-5,8.950477155634323e-5
no UV,T6,PET,PET_no UV_T6, Lepisosteus oculatus (spotted gar),1.982883322774328e-4,7.128250304920043e-5
UV,T6,PP,PP_UV_T6, Erythrobacter vulgaris,2.245088426607408e-4,1.595410119741907e-4
UV,T6,PP,PP_UV_T6, Ekhidna lutea,5.809369683389351e-5,8.418576473988636e-5
UV,T6,PP,PP_UV_T6, Coraliomargarita akajimensis DSM 45221,1.0788829412008795e-4,1.5634499165978895e-4
UV,T6,PP,PP_UV_T6, Ponticoccus sp. SJ5A-1,2.0560787506389148e-4,1.4736472724474672e-4
UV,T6,PP,PP_UV_T6, Lutimaribacter saemankumensis,1.9084879754417794e-4,5.9669773380198276e-5
no UV,T6,Nylon,Nylon_no UV_T6, Bradyrhizobium sp. SUT-PR9,9.782144230028032e-5,8.093048331744355e-5
no UV,T6,Nylon,Nylon_no UV_T6, Citreitalea marina,4.892008903456205e-5,7.225976037727137e-5
no UV,T6,Nylon,Nylon_no UV_T6, Kiloniellaceae bacterium EF3B-B119,1.1033289053303443e-4,8.432598685585873e-5
UV,T6,Nylon,Nylon_UV_T6, Roseibacterium beibuensis,4.585358354659913e-4,3.066031084167148e-4
no UV,T6,PP,PP_no UV_T6, Rhodobacteraceae bacterium JAMH 0111,4.1673541367038274e-5,3.01893887225858e-5
no UV,T6,PP,PP_no UV_T6, Streptococcus pneumoniae,2.774810272347628e-5,4.1622154085214425e-5
no UV,T6,PP,PP_no UV_T6, Microbacterium schleiferi,3.242417379254618e-5,2.5065309334471552e-5
no UV,T6,PP,PP_no UV_T6, Hormoscilla pringsheimii SAG 1407-1,1.6186393255361164e-5,2.3383353125140738e-5
no UV,T6,PP,PP_no UV_T6, Spongiibacter sp. IMCC21906,2.081107704260721e-5,3.0464297406026884e-5
no UV,T6,PP,PP_no UV_T6, Winogradskyella sp. J14-2,6.092592805328885e-5,6.228647031024352e-5
no UV,T6,PP,PP_no UV_T6, Mengenilla moldrzyki,1.387405136173814e-5,2.4030561865350628e-5
no UV,T6,PP,PP_no UV_T6, Maricaulis sp. c11-37,4.7856915510640955e-5,3.473445323310352e-5
no UV,T6,PP,PP_no UV_T6, Amnibacterium sp. MN4-4,1.387405136173814e-5,2.4030561865350628e-5
no UV,T6,PP,PP_no UV_T6, Thalassobius sp. CECT 5113,4.086850254794803e-5,4.5742651989543724e-5
no UV,T6,PP,PP_no UV_T6, Micrococcus luteus,3.237278651072233e-5,4.61497668213222e-5
no UV,T6,PP,PP_no UV_T6, Tropicibacter naphthalenivorans,1.6186393255361164e-5,2.332707541869688e-5
no UV,T6,PP,PP_no UV_T6, Spongiibacter marinus DSM 19753,1.387405136173814e-5,2.1493587947375263e-5
UV,T6,Nylon,Nylon_UV_T6, Kyrtuthrix huatulcensis C708,2.8129395218002813e-5,4.8721541703765886e-5
UV,T6,Nylon,Nylon_UV_T6, Roseobacter sp. U1368-101106-SW101,1.2295063773575478e-4,1.6752039927807786e-5
UV,T6,Nylon,Nylon_UV_T6, Muriicola marianensis,6.094702297233943e-5,8.74147506123607e-5
UV,T6,Nylon,Nylon_UV_T6, Synechococcus sp. LEGE 07074,3.281762775433661e-5,4.690227104616479e-5
UV,T6,Nylon,Nylon_UV_T6, Bacteriovorax sp. E1T4-F,4.435552252819769e-5,4.235984896754771e-5
no UV,T6,PET,PET_no UV_T6, Erythrobacter vulgaris,1.269830493771471e-4,1.4109862136874255e-4
no UV,T6,PET,PET_no UV_T6, Olleya sp. HC6-1,5.934826742544357e-5,6.64628904626421e-5
no UV,T6,PET,PET_no UV_T6, Salegentibacter sp. PR54-18,4.971908715755978e-5,8.611598506283882e-5
UV,T6,PET,PET_UV_T6, Bacteroidetes bacterium JS5,8.568439435133485e-4,0.001086972358461592
UV,T6,PET,PET_UV_T6, Altererythrobacter sp. CC-AMWO-103A,2.0011164123142383e-4,2.838620924570361e-4
UV,T6,PET,PET_UV_T6, Pseudooceanicola marinus,7.372534150631403e-5,1.0624952541650066e-4
UV,T6,PET,PET_UV_T6, Saccharina japonica,6.319314986255489e-5,9.089638879308367e-5
UV,T6,PET,PET_UV_T6, Erythrobacter vulgaris,1.5798287465638723e-4,2.2402455211375076e-4
UV,T6,PS,PS_UV_T6, Bradyrhizobium sp. 'SH 283012',5.0959439096891115e-5,4.904793016229134e-5
UV,T6,PS,PS_UV_T6, Aliiroseovarius zhejiangensis,8.552020295760014e-5,1.1689904723467068e-4
UV,T6,PS,PS_UV_T6, Pseudooceanicola marinus,4.9849620312058626e-5,7.184094901609066e-5
no UV,T6,PE,PE_no UV_T6, Ruegeria sp. JZ11IS22,2.644410601124783e-4,2.194618300893642e-4
no UV,T6,PE,PE_no UV_T6, Thalassobius sp. KU27E3,1.5368785926059056e-4,1.797836344805887e-4
no UV,T6,PE,PE_no UV_T6, Grimontia indica,1.0694664131036629e-4,1.2766594724927666e-4
no UV,T6,PE,PE_no UV_T6, Kocuria rosea,1.481062595090951e-4,2.134438371195167e-4
no UV,T6,PE,PE_no UV_T6, Hormoscilla pringsheimii SAG 1407-1,1.3464205409917737e-4,1.9450798252739702e-4
no UV,T6,PE,PE_no UV_T6, Roseovarius lutimaris,1.0694664131036629e-4,1.3085012573392174e-4
no UV,T1,PP,PP_no UV_T1, Aquimarina hainanensis,1.1210133961100834e-4,1.6815200941651252e-4
no UV,T1,PP,PP_no UV_T1, Vibrio sp. J-S2-17,1.1210133961100834e-4,1.9416521580279997e-4
no UV,T1,PP,PP_no UV_T1, Microbacterium schleiferi,1.2447818995013404e-4,1.5968086718003282e-4
no UV,T1,PP,PP_no UV_T1, Flammeovirgaceae bacterium EF2C-B566,1.1210133961100834e-4,1.6815200941651252e-4
no UV,T1,PP,PP_no UV_T1, Murgantia histrionica,0.0012200994764465457,6.202204349905001e-4
UV,T1,PP,PP_UV_T1, Rhodobacter sp. enrichment culture,2.3613866062151698e-5,4.090041578277315e-5
no UV,T6,PP,PP_no UV_T6, Delftia tsuruhatensis,1.1281068944106195e-4,1.5705707932522878e-4
no UV,T6,Nylon,Nylon_no UV_T6, Methylobacterium variabile,5.2966317496404405e-5,7.675548616986815e-5
no UV,T6,Nylon,Nylon_no UV_T6, Vibrio sp. PaD2.27,6.928706566789127e-5,5.35161229106509e-5
no UV,T6,Nylon,Nylon_no UV_T6, Dactylopius coccus,3.259465692086425e-5,4.7087226953474567e-5
UV,T6,PP,PP_UV_T6, Tenacibaculum amylolyticum,2.019521394161116e-4,1.2602673981427828e-4
UV,T6,PP,PP_UV_T6, Murgantia histrionica,4.7026658316091507e-4,3.2872991307759047e-4
UV,T6,PP,PP_UV_T6, Pseudahrensia todarodis,3.506671807652214e-4,1.2022560763107112e-4
UV,T6,PP,PP_UV_T6, bacterium HAB3,3.989945337748872e-5,5.984918006623309e-5
UV,T6,PP,PP_UV_T6, Epibacterium ulvae,1.5304686235047927e-4,5.36019743077112e-5
UV,T6,PP,PP_UV_T6, Salinirepens amamiensis,8.375086590787958e-5,9.890875342429937e-5
UV,T1,PE,PE_UV_T1, Hydra vulgaris,0.0014084443309034032,0.0012319285102948714
UV,T6,PE,PE_UV_T6, Stenotrophomonas maltophilia,1.8563562705609246e-4,2.1046489309863882e-4
UV,T6,PE,PE_UV_T6, Bradyrhizobium sp. ORS 3637,4.354168027344177e-5,6.745448102597117e-5
UV,T6,PE,PE_UV_T6, Sediminitomix flava,1.271536652043996e-4,1.832479349285758e-4
no UV,T6,PS,PS_no UV_T6, Spongiibacter sp. IMCC21906,1.8747656542932134e-4,2.7443759081792273e-4
no UV,T6,PS,PS_no UV_T6, Micrococcus sp. 9(2012),1.8747656542932134e-4,3.247189365520955e-4
no UV,T1,Nylon,Nylon_no UV_T1, Flexibacter sp. S4471,6.153846153846154e-4,9.089833180012263e-4
UV,T6,PS,PS_UV_T6, Bacterioplanes sanyensis,4.447211598327848e-5,7.702796440313428e-5
UV,T6,PS,PS_UV_T6, Delftia sp.,5.1884135313824896e-5,7.595059715644992e-5
UV,T1,Nylon,Nylon_UV_T1, Acinetobacter baumannii,3.610303807065364e-5,5.593058607805357e-5
no UV,T1,PET,PET_no UV_T1, Pseudomonas koreensis,5.192107995846313e-4,8.992994847190432e-4
UV,T1,PS,PS_UV_T1, Citreimonas salinaria,1.7211703958691912e-4,1.885447702255305e-4
UV,T1,PE,PE_UV_T1, Pseudomonas koreensis,3.00276338182873e-4,4.136453771817628e-5
no UV,T6,PE,PE_no UV_T6, Stenotrophomonas sp. LMTZ064-91,1.1282861333634211e-4,1.9542489084608793e-4
UV,T1,Nylon,Nylon_UV_T1, Murgantia histrionica,0.0012299718573939326,6.696070618142337e-4
no UV,T6,PET,PET_no UV_T6, Streptococcus pneumoniae,1.762176640586452e-4,2.6432649608796785e-4
no UV,T1,PET,PET_no UV_T1, Grimontia indica,5.526388505111909e-4,7.964373496799029e-4
UV,T1,Nylon,Nylon_UV_T1, Citreimonas salinaria,6.053268765133171e-4,9.079903147699758e-4
no UV,T1,PE,PE_no UV_T1, Gardnerella vaginalis 00703Bmash,2.9784427104226027e-4,3.9518312084998173e-4
no UV,T1,Nylon,Nylon_no UV_T1, Methylobacterium sp. MM70,0.0013521037143084387,0.0019143058911938503
no UV,T1,Nylon,Nylon_no UV_T1, Murgantia histrionica,5.935197320126851e-4,6.589791279913771e-4
no UV,T1,PE,PE_no UV_T1, Reichenbachiella sp. DC003,4.33947058458868e-4,6.160863929793862e-4
NA,NA,negative_c,negative_c_, Thalassobius sp. CECT 5113,1.7977204904181497e-5,3.1355943249585326e-5
NA,NA,negative_c,negative_c_, Thalassobius aestuarii,6.27227483984964e-5,8.107614877275694e-5
NA,NA,negative_c,negative_c_, Roseobacter sp. SPO804,7.377603153457007e-5,9.180300143789015e-5
NA,NA,negative_c,negative_c_, bacterium YC-ZSS-LKJ82,1.3482903678136123e-5,2.6965807356272247e-5
NA,NA,negative_c,negative_c_, Tenacibaculum sp. FDZWPB0420,5.863838354182779e-5,7.02252607029049e-5
NA,NA,negative_c,negative_c_, Calothrix sp. 96/26 LPP3,1.0112177758602092e-4,1.758152896384202e-4
NA,NA,negative_c,negative_c_, Pseudoalteromonas sp. Gp-2-5.3.1,4.841997198160674e-5,6.74450184778798e-5
NA,NA,negative_c,negative_c_, Pseudoalteromonas sp. PaH3.10,1.3482903678136123e-5,2.4965486457031374e-5
NA,NA,negative_c,negative_c_, Loktanella cinnabarina,5.027218506235174e-5,5.8101090618436804e-5
NA,NA,negative_c,negative_c_, Ruegeria sp. YIM-QH106,7.518831057174015e-5,8.864959166520141e-5
NA,NA,negative_c,negative_c_, Marivita geojedonensis,1.3482903678136123e-5,2.6965807356272247e-5
NA,NA,negative_c,negative_c_, Coraliomargarita akajimensis DSM 45221,2.6965807356272247e-5,4.7563213444514984e-5
NA,NA,negative_c,negative_c_, Muriicola marianensis,6.211534326298078e-5,6.601042118900124e-5
NA,NA,negative_c,negative_c_, Tenacibaculum jejuense,7.395850146360984e-5,9.985532886260154e-5
NA,NA,negative_c,negative_c_, Pseudozobellia thermophila,4.2513391718391296e-5,7.52190916528682e-5
NA,NA,negative_c,negative_c_, Glaciecola punicea,2.3913782841595103e-5,4.4279721632689417e-05
NA,NA,negative_c,negative_c_, Flavobacteriaceae bacterium GUDS910,1.5942521894396735e-5,3.188504378879347e-5
NA,NA,negative_c,negative_c_, Flavobacterium sp. NK107,1.5942521894396735e-5,3.188504378879347e-5
NA,NA,negative_c,negative_c_, Rhodovulum strictum,2.1256695859195648e-5,3.7774139811182665e-5
NA,NA,negative_c,negative_c_, Lacinutrix sp. LPB0139,2.3913782841595103e-5,4.4279721632689417e-05
NA,NA,negative_c,negative_c_, Erythrobacter sp. JL1033,6.601723819060963e-5,1.1096489085580028e-4
NA,NA,negative_c,negative_c_, marine bacterium KS-9-10-5,3.719921775359238e-5,6.729591697275993e-5
NA,NA,negative_c,negative_c_, Algibacter lectus,2.3913782841595103e-5,4.4279721632689417e-05
NA,NA,negative_c,negative_c_, Aquisalinus flavus,1.8189672507419424e-5,2.7260740519666162e-5
NA,NA,negative_c,negative_c_, Alphaproteobacteria sp. MG35,2.084675948981888e-5,3.180472752001712e-5
NA,NA,negative_c,negative_c_, Zeaxanthinibacter enoshimensis,1.8189672507419424e-5,2.7751964549556883e-5
NA,NA,negative_c,negative_c_, Jannaschia sp. UDC482,5.9063318748303644e-5,7.97829127015285e-5
NA,NA,negative_c,negative_c_, Coccinimonas marina,5.947325511768041e-5,8.421235405163688e-5
NA,NA,negative_c,negative_c_, Zunongwangia atlantica 22II14-10F7,1.5942521894396735e-5,3.188504378879347e-5
NA,NA,negative_c,negative_c_, Psychroserpens sp. A622,3.454213077119293e-5,6.17908419936597e-5
NA,NA,negative_c,negative_c_, Octadecabacter ascidiaceicola,2.799814769826371e-5,3.5354220759558793e-5
NA,NA,negative_c,negative_c_, Ilumatobacter nonamiensis YM16-303,3.188504378879347e-5,5.641431873965115e-5
NA,NA,negative_c,negative_c_, Nioella sediminis,3.0655234680663165e-5,4.0848117581382374e-5
NA,NA,negative_c,negative_c_, Planctomycetaceae bacterium FC18,2.657086982399456e-5,4.806851212339995e-5
NA,NA,negative_c,negative_c_, Rubricoccus marinus,3.188504378879347e-5,5.768221454807994e-5
NA,NA,negative_c,negative_c_, Scapharca broughtonii,6.83106492091264e-5,1.0457795189250475e-4
NA,NA,negative_c,negative_c_, Pseudomonas sp. STC,1.2357986142578206e-5,2.4715972285156412e-5
NA,NA,negative_c,negative_c_, Undibacterium sp. JJ2212,1.4531558974656664e-5,2.362514917602549e-5
NA,NA,negative_c,negative_c_, bacterium YC-ZSS-LKJ83,4.3471456641569144e-6,8.694291328313829e-6
NA,NA,negative_c,negative_c_, Staphylococcus hyicus,1.2813620042506563e-5,1.4663154335358519e-5
NA,NA,negative_c,negative_c_, Bradyrhizobium sp. P9-21,6.4068100212532815e-6,8.287529274657945e-6
NA,NA,negative_c,negative_c_, Acinetobacter sp. AW 1-18,1.0526138735446017e-5,1.112185740469691e-5
UV,T6,PS,PS_UV_T6, Hyphomonadaceae bacterium JNU-L072,2.016386132635447e-5,1.872150185997139e-5
UV,T6,PS,PS_UV_T6, Jannaschia faecimaris,1.7062517062517064e-5,2.6433137771003393e-05
UV,T6,PS,PS_UV_T6, Thioprofundum lithotrophicum,1.0695522544134682e-4,1.9636106707407836e-5
UV,T6,PS,PS_UV_T6, Jannaschia sp. UDC482,1.7726358888852033e-5,1.526869017526488e-5
UV,T6,PS,PS_UV_T6, Eionea flava,3.255039754994486e-5,1.2131900730940675e-5
UV,T6,PS,PS_UV_T6, Dulcina sp. TB-2010 gill endosymbiont,1.7062517062517064e-5,2.6433137771003393e-05
no UV,T6,PP,PP_no UV_T6, Ruegeria sp. JZ11IS22,6.178235415420295e-5,5.355565440724328e-5
no UV,T6,PP,PP_no UV_T6, Kiloniella laminariae,6.183374143602681e-5,8.880195033727259e-5
no UV,T6,PP,PP_no UV_T6, Leptolyngbya sp. UIC 10142,5.2532986579710855e-5,5.779291304643788e-5
no UV,T6,PP,PP_no UV_T6, Rathayibacter sp. VKM Ac-2121,3.0916870718013404e-5,5.3549590894637695e-5
no UV,T6,PP,PP_no UV_T6, Oceanicola sp. LA276,9.27506121540402e-5,1.3222275821162668e-4
UV,T6,PE,PE_UV_T6, bacterium BW4PhS17,1.646762367641536e-4,1.8981950435730606e-4
UV,T6,PE,PE_UV_T6, Dinoroseobacter shibae DFL 12 = DSM 16493,3.247849923350743e-5,4.8717748850261126e-5
UV,T6,PE,PE_UV_T6, Roseivivax lentus,8.117606988545759e-5,4.106021678875053e-5
UV,T6,PE,PE_UV_T6, Oceanicola sp. MCTG156(1a),1.2892970940898442e-4,6.399762268565558e-5
UV,T6,PE,PE_UV_T6, Leisingera sp. ANG-Vp,3.973544594574772e-5,4.574244724054374e-5
UV,T6,PE,PE_UV_T6, Wenxinia saemankumensis,1.0773743187491783e-4,9.005207746682387e-5
UV,T6,PE,PE_UV_T6, Roseicitreum antarcticum,5.424933937022832e-5,4.078329653185278e-5
UV,T6,PE,PE_UV_T6, Hirschia maritima DSM 19733,1.1724760936977381e-4,1.1111630528923969e-4
UV,T6,PE,PE_UV_T6, Pseudahrensia todarodis,1.493607400775122e-4,6.221227364021142e-5
UV,T6,PE,PE_UV_T6, Saprospira sp. SS98-5,3.247849923350743e-5,4.680649908559333e-5
UV,T6,PE,PE_UV_T6, Boseongicola sp. MME-043,1.1706492510688929e-4,6.123433536051094e-5
UV,T6,PE,PE_UV_T6, Actibacterium atlanticum,3.6854046213041845e-4,2.847856086782295e-4
UV,T6,PE,PE_UV_T6, Jannaschia sp. UDC482,1.3005632480029227e-4,6.41570598806197e-5
UV,T6,PE,PE_UV_T6, Rhodobacter sphaeroides,1.63113386636454e-4,6.454753491053751e-5
UV,T6,PE,PE_UV_T6, alpha proteobacterium MBIC3953,1.0734155353514806e-4,8.16346444551301e-5
UV,T6,PE,PE_UV_T6, Corynebacterium sp. NNC-3,3.247849923350743e-5,4.6032593704694195e-5
UV,T6,PE,PE_UV_T6, Roseovarius lutimaris,8.117606988545759e-5,4.1677698306834673e-5
UV,T6,PE,PE_UV_T6, Hyphomonadaceae bacterium JNU-L072,1.8027638918332006e-4,5.522745564977587e-5
UV,T6,Nylon,Nylon_UV_T6, Rhodovulum mangrovi,3.109206085165978e-5,2.9547517917703357e-5
UV,T6,Nylon,Nylon_UV_T6, Alphaproteobacteria bacterium,1.4115332855310048e-4,8.333699965159351e-5
UV,T6,Nylon,Nylon_UV_T6, Bradyrhizobium sp. 'SH 283012',5.514959327174962e-5,7.876937464268965e-5
UV,T6,Nylon,Nylon_UV_T6, Marivita sp. CZ-AX3,2.2354736652164503e-4,1.7236324622437748e-4
UV,T6,Nylon,Nylon_UV_T6, Ulvibacter litoralis,2.297899719656234e-5,3.3942228313617186e-5
UV,T6,Nylon,Nylon_UV_T6, Pseudochrobactrum sp.,2.297899719656234e-5,3.363780756061399e-5
UV,T6,Nylon,Nylon_UV_T6, Wohlfahrtiimonas larvae,6.893699158968702e-5,1.0091342268184198e-4
UV,T6,Nylon,Nylon_UV_T6, Roseovarius pacificus,5.4163491145243456e-5,5.084608545104862e-5
UV,T6,Nylon,Nylon_UV_T6, Thalassococcus sp.,9.111911210792434e-5,6.720156843166474e-5
UV,T6,Nylon,Nylon_UV_T6, Pseudooceanicola flagellatus,1.2393238060812248e-4,7.572665500648404e-5
UV,T6,Nylon,Nylon_UV_T6, Rhodobacteraceae bacterium B62Ydz-zz,4.605042749014601e-5,5.7086221615660666e-5
UV,T6,Nylon,Nylon_UV_T6, Salmonella enterica subsp. arizonae,2.297899719656234e-5,3.980079065142877e-5
UV,T6,Nylon,Nylon_UV_T6, Pseudomonas andersonii,5.055379383243715e-5,7.583069074865573e-5
UV,T6,Nylon,Nylon_UV_T6, Kordia sp. PC-4,2.297899719656234e-5,3.980079065142877e-5
UV,T6,Nylon,Nylon_UV_T6, Roseobacter sp. ANT9283,2.297899719656234e-5,3.980079065142877e-5
no UV,T6,PS,PS_no UV_T6, Lutimaribacter sp. CAU 1340,1.5349488670158675e-4,2.207854954172033e-4
no UV,T6,PE,PE_no UV_T6, Tenacibaculum jejuense,3.8935312488699565e-4,2.9821169742803605e-4
no UV,T6,PE,PE_no UV_T6, Bradyrhizobium sp. 'SH 283012',1.0464563540343948e-4,7.482822317310751e-5
no UV,T6,PE,PE_no UV_T6, Tenacibaculum amylolyticum,1.9812807130388803e-4,1.6538000185544702e-4
no UV,T6,PE,PE_no UV_T6, Pseudoalteromonas sp. 7016,3.174300860235534e-5,5.498050368437537e-5
no UV,T6,PE,PE_no UV_T6, Erythrobacter sp. JL1033,5.155581573274414e-5,4.83332418911173e-5
no UV,T6,PE,PE_no UV_T6, Halovulum dunhuangense,7.771722458360401e-5,6.3426810340558e-5
no UV,T6,PE,PE_no UV_T6, Erythrobacteraceae bacterium LSUCC0267,1.2927304031634814e-4,1.0945207691947851e-4
no UV,T6,PE,PE_no UV_T6, Roseobacter sp. LA9,9.1948431962497355e-05,6.928255870848439e-5
no UV,T6,PE,PE_no UV_T6, Epibacterium ulvae,1.7524725629759682e-4,1.3409948598247778e-4
UV,T6,PP,PP_UV_T6, Saccharospirillum aestuarii,6.130843979345037e-5,7.407836852687828e-5
UV,T6,PP,PP_UV_T6, Flammeovirga sp. NBRC 100895,5.300934024575129e-5,7.829998472016331e-5
UV,T6,PP,PP_UV_T6, Rhodobacteraceae bacterium HSML-FTL-9i,1.2031411108544954e-4,1.2548724495313379e-4
no UV,T6,PET,PET_no UV_T6, Oceanospirillum sp. ME101,1.0592098294672173e-4,1.499843845516869e-4
no UV,T6,PET,PET_no UV_T6, Loktanella koreensis,6.740426187518654e-5,9.594101170344755e-5
