treatment,timepoint,Material,description,Genus,Genus_rep_rel_abund,st_dev_Genus_abund
UV,T6,Nylon,Nylon_UV_T6, Ilumatobacter,2.3882256006195991e-4,3.097204597007145e-4
UV,T6,Nylon,Nylon_UV_T6, endosymbionts2,1.1196298228988326e-4,1.1546166355571551e-4
UV,T6,Nylon,Nylon_UV_T6, CL500-3,8.438818565400845e-5,1.2078955028194883e-4
UV,T1,PP,PP_UV_T1, Loktanella,2.761115871655717e-4,3.906372879854182e-4
UV,T1,PP,PP_UV_T1, Acidibacter,3.998857469294487e-4,5.680206528729162e-4
UV,T1,PP,PP_UV_T1, Lewinella,2.0946396267733028e-4,2.9632596545715547e-4
no UV,T1,Nylon,Nylon_no UV_T1, Anaerococcus,2.69384456516859e-4,3.833408019779385e-4
no UV,T6,PET,PET_no UV_T6, Celeribacter,4.94465085374872e-4,4.137518960758878e-4
no UV,T6,PET,PET_no UV_T6, Epibacterium,1.7670213653470687e-4,2.1127267116610973e-4
UV,T6,PET,PET_UV_T6, Psychroserpens,2.4224040780646043e-4,3.4391526839554253e-4
UV,T6,PET,PET_UV_T6, Maritimibacter,8.243495504019643e-4,4.8250612586990733e-4
UV,T6,PET,PET_UV_T6, Pseudoruegeria,8.066830527518968e-4,0.0010415060863886551
UV,T6,PS,PS_UV_T6, Comamonas,2.9355887517101186e-4,4.2018730748119814e-4
no UV,T1,PP,PP_no UV_T1, NS4 marine group,9.154942734899015e-4,0.001299421025151001
UV,T1,PET,PET_UV_T1, Tenacibaculum,0.002284860745219724,0.0016226171923799811
UV,T1,PET,PET_UV_T1, Oleiphilus,0.001787300301530727,0.0019962455551228945
UV,T1,PP,PP_UV_T1, Ramlibacter,1.9195220019313592e-4,1.3942318479610042e-4
UV,T1,PP,PP_UV_T1, Rhodopseudomonas,2.6235090877843814e-4,2.0846644325082193e-4
no UV,T6,PP,PP_no UV_T6, Sagittula,2.6500078249771494e-4,2.4264034138395525e-4
no UV,T6,PP,PP_no UV_T6, Algimonas,2.920947831028691e-4,3.5017159830065905e-4
no UV,T6,PP,PP_no UV_T6, Pantoea,6.90768719366077e-4,7.317658277584276e-4
UV,T6,PP,PP_UV_T6, Actinobacillus,9.642367899559774e-4,0.001371276227013859
UV,T6,PP,PP_UV_T6, Comamonas,1.5124556767181151e-4,1.659264102425611e-4
UV,T6,PE,PE_UV_T6, Enterovibrio,2.255537572647247e-4,1.6887639327065046e-4
UV,T6,PE,PE_UV_T6, Oceanicaulis,0.0016298153155727435,2.4780128269595526e-4
UV,T6,PE,PE_UV_T6, Pseudoruegeria,0.0012106284009055267,2.896874729147032e-4
no UV,T6,PS,PS_no UV_T6, Subgroup 23,6.249218847644044e-4,8.908716972468907e-4
no UV,T6,PS,PS_no UV_T6, Erysipelotrichaceae UCG-003,5.62429696287964e-4,9.741568096562864e-4
no UV,T6,PS,PS_no UV_T6, Curtobacterium,5.936757905261842e-4,9.197185799017738e-4
no UV,T1,PP,PP_no UV_T1, Thalassolituus,0.0010489014508894194,0.0010380393911251999
UV,T6,PET,PET_UV_T6, Luteolibacter,0.002284527420102491,0.0022793179706831097
UV,T6,PET,PET_UV_T6, Reinekea,0.0014509576320371443,0.002068445864675674
UV,T1,PP,PP_UV_T1, Marinobacter,5.464635350917948e-4,6.942402771085943e-4
UV,T1,PP,PP_UV_T1, BD1-7 clade,5.719265755215426e-4,8.089262674298712e-4
no UV,T6,PE,PE_no UV_T6, Microbacterium,3.76095377787807e-4,5.334412407805117e-4
UV,T1,Nylon,Nylon_UV_T1, Brevundimonas,0.0010468966470683874,7.975436961499569e-4
no UV,T1,PS,PS_no UV_T1, Afipia,0.0034122652451054735,0.004115936119752808
no UV,T1,PET,PET_no UV_T1, Marinifilum,0.0033158331030671458,0.00479015276163326
no UV,T1,PET,PET_no UV_T1, Corynebacterium 1,0.013455803321640291,0.004656645244231808
NA,NA,negative_c,negative_c_, Nitratireductor,1.9902405956542403e-4,1.9991869171074128e-4
NA,NA,negative_c,negative_c_, Romboutsia,2.3184776875503544e-5,4.0297376723804696e-5
UV,T6,PS,PS_UV_T6, Celeribacter,2.1431343831842978e-4,9.975728397026478e-5
UV,T6,PS,PS_UV_T6, Salinihabitans,0.0010507083997534068,4.31310831142349e-4
no UV,T6,PP,PP_no UV_T6, Celeribacter,2.17813521465891e-4,1.8205772386280003e-4
no UV,T6,PP,PP_no UV_T6, Calothrix KVSF5,1.0511736044124557e-4,1.8206860904176816e-4
UV,T6,PE,PE_UV_T6, Defluviimonas,2.5441855301604384e-4,1.9160490132728888e-4
UV,T6,PE,PE_UV_T6, Ponticoccus,2.0038240772270077e-4,1.638824445806977e-4
UV,T6,PE,PE_UV_T6, Clade Ia,1.5281145246205845e-4,1.4948034195392667e-4
UV,T6,Nylon,Nylon_UV_T6, Pleurocapsa PCC-7319,1.567193464217306e-4,1.7512514822399388e-4
UV,T6,Nylon,Nylon_UV_T6, Marivita,6.997844940326291e-4,2.6900907806253664e-4
no UV,T6,PS,PS_no UV_T6, Ferrimonas,3.645503559162685e-4,5.193290461487667e-4
no UV,T6,PE,PE_no UV_T6, Pelagicoccus,1.0792622924800815e-4,1.5479582027376205e-4
no UV,T6,PE,PE_no UV_T6, Cribrihabitans,2.570120766947451e-4,2.5953955547988386e-4
no UV,T6,PE,PE_no UV_T6, Porphyrobacter,5.559507735571946e-4,4.684062818296061e-4
no UV,T6,PE,PE_no UV_T6, Spirulina DRTO-55.2,2.4124686537790055e-4,3.495999215028401e-4
UV,T6,PP,PP_UV_T6, Actibacterium,0.001706498009128651,8.683941565718932e-4
UV,T6,PP,PP_UV_T6, Aquimarina,4.1495497738495366e-4,5.88369168447545e-4
UV,T6,PP,PP_UV_T6, Algisphaera,1.4108469231088425e-4,2.116270384663264e-4
UV,T6,PP,PP_UV_T6, Defluviimonas,3.9420705039706254e-4,1.1250053262534285e-4
no UV,T6,Nylon,Nylon_no UV_T6, Turicella,3.995140604489234e-4,5.653813822099329e-4
UV,T6,Nylon,Nylon_UV_T6, Aestuariibacter,7.620780385746881e-4,2.7051693153773524e-4
UV,T6,Nylon,Nylon_UV_T6, Parvularcula,8.978606344426026e-4,4.0727554268323826e-4
no UV,T6,PP,PP_no UV_T6, Xuhuaishuia,1.3658233356922994e-4,1.0168149761041722e-4
no UV,T6,PP,PP_no UV_T6, Altererythrobacter,4.431421290175666e-4,1.0088040496772073e-4
no UV,T1,PS,PS_no UV_T1, Ferrimonas,0.00110272780034823,0.001570917617889006
UV,T6,Nylon,Nylon_UV_T6, Psychrosphaera,1.7806040328366315e-4,2.4326053169735034e-4
UV,T6,Nylon,Nylon_UV_T6, Roseibacillus,3.063330803107265e-4,2.2122411886543142e-4
UV,T6,Nylon,Nylon_UV_T6, Schizothrix LEGE 07164,4.003225721170456e-4,3.1709915588099533e-4
UV,T1,PP,PP_UV_T1, Actibacterium,2.7611158716557175e-4,3.908166487804957e-4
UV,T1,PP,PP_UV_T1, Citreimonas,1.7137960582690659e-4,2.570694087403599e-4
UV,T1,PP,PP_UV_T1, Sva0996 marine group,4.8557554984290203e-4,6.868839462664992e-4
UV,T6,PET,PET_UV_T6, Fuerstia,3.2649794095653364e-4,4.6733484255504545e-4
no UV,T1,PP,PP_no UV_T1, Salinirepens,0.0010492740053573606,7.441939436054189e-4
no UV,T6,PP,PP_no UV_T6, Tistlia,2.2330316006211647e-4,2.1009481257069676e-4
UV,T6,PP,PP_UV_T6, Altererythrobacter,0.00127035446830487,4.1493595270798066e-4
UV,T1,PE,PE_UV_T1, Exiguobacterium,0.0011533391915641475,0.0011745031438448622
UV,T6,PE,PE_UV_T6, Dinoroseobacter,6.778075803507244e-4,7.526116657452336e-5
UV,T6,PE,PE_UV_T6, Roseivivax,3.7872073166993095e-4,1.9993546609647138e-4
UV,T6,PE,PE_UV_T6, Muricauda,0.0031128890858213762,0.0013510443865640093
UV,T6,PE,PE_UV_T6, Roseibacterium,5.94490097734913e-4,1.3157853292648274e-4
no UV,T6,PS,PS_no UV_T6, Candidatus Alysiosphaera,5.311836020497438e-4,7.967754030746157e-4
no UV,T1,PP,PP_no UV_T1, alpha proteobacterium SCGC AAA536-K22,3.2250779537614524e-4,3.158357551773687e-4
no UV,T1,PP,PP_no UV_T1, Schlegelella,2.970444081390168e-4,4.387636690188602e-4
no UV,T1,PET,PET_no UV_T1, Candidatus Actinomarina,0.002249913464866736,0.0032269931300824752
no UV,T1,PP,PP_no UV_T1, Epibacterium,2.6296657230807306e-4,3.734904311131834e-4
no UV,T1,PS,PS_no UV_T1, Wenyingzhuangia,8.855331841909023e-4,0.001261929601108695
NA,NA,negative_c,negative_c_, Sva0081 sediment group,6.741451839068062e-5,1.1730973467547962e-4
NA,NA,negative_c,negative_c_, Candidatus Endobugula,1.3177701226668408e-4,1.777232105494772e-4
NA,NA,negative_c,negative_c_, Crocinitomix,1.1624442674166412e-4,1.780511323187513e-4
NA,NA,negative_c,negative_c_, Marinifilum,6.292021716463525e-5,1.1072481988452951e-4
NA,NA,negative_c,negative_c_, Sneathiella,9.299804438398095e-5,1.6403313190357374e-4
NA,NA,negative_c,negative_c_, Truepera,1.3551143610237226e-4,2.3669342527781452e-4
NA,NA,negative_c,negative_c_, Formosa,2.9759374202873904e-4,5.177641107738934e-4
no UV,T6,PP,PP_no UV_T6, Prolixibacter,1.298508570156563e-4,1.8677616181629936e-4
no UV,T6,PP,PP_no UV_T6, SAR92 clade,1.2673347630294302e-4,1.6248973537754467e-4
no UV,T6,PP,PP_no UV_T6, Wenyingzhuangia,9.893398629764288e-5,1.4098593716592225e-4
UV,T6,PE,PE_UV_T6, Halomicronema TFEP1,5.748705169111672e-4,1.663188498655403e-4
UV,T6,PE,PE_UV_T6, Calorithrix,1.2341829708732827e-4,1.7540175991222662e-4
UV,T6,Nylon,Nylon_UV_T6, Leisingera,4.6970023303422357e-4,5.277565881534683e-4
no UV,T6,PS,PS_no UV_T6, Lentilitoribacter,1.5349488670158675e-4,2.2044024814513053e-4
no UV,T6,PE,PE_no UV_T6, Wenyingzhuangia,2.0392225702404974e-4,2.6234553860963794e-4
no UV,T6,PE,PE_no UV_T6, Photobacterium,0.0010962655798605215,8.029584901389069e-4
no UV,T6,PE,PE_no UV_T6, Fuerstia,1.4601783957083453e-4,2.090035357225988e-4
no UV,T6,PE,PE_no UV_T6, Roseovarius,8.292824775690935e-4,5.874885507237532e-4
UV,T6,PP,PP_UV_T6, Oceanicella,2.8164490032415464e-4,3.6522871594337e-4
UV,T6,PP,PP_UV_T6, Pseudomonas,9.988627522602397e-4,4.10184969972245e-4
no UV,T6,PET,PET_no UV_T6, Shimia,4.2840348924130936e-4,3.429954513424619e-4
no UV,T6,PET,PET_no UV_T6, Beggiatoa,1.540668842861407e-4,2.6685167134743085e-4
UV,T6,PP,PP_UV_T6, Actibacter,2.2407568778787498e-4,3.1866618958743646e-4
UV,T6,PP,PP_UV_T6, Pedomicrobium,2.1412739758872496e-4,2.9115009220343835e-4
no UV,T6,Nylon,Nylon_no UV_T6, Enterovibrio,1.3860691893125915e-4,1.9695993283678806e-4
no UV,T6,Nylon,Nylon_no UV_T6, Ekhidna,2.2829374882795626e-4,3.230944739811581e-4
no UV,T6,Nylon,Nylon_no UV_T6, Roseitalea,2.935205342073723e-4,4.201324279062966e-4
no UV,T6,Nylon,Nylon_no UV_T6, Peredibacter,2.4460044517281027e-4,3.460784210305626e-4
no UV,T6,Nylon,Nylon_no UV_T6, Ponticoccus,2.3479576935186479e-4,1.490014091147937e-4
UV,T6,Nylon,Nylon_UV_T6, Algimonas,5.07438464039624e-4,5.300629797083918e-4
UV,T6,Nylon,Nylon_UV_T6, Limnothrix,3.9880352051734465e-4,0.00054933423248597975
UV,T1,PP,PP_UV_T1, Sphingorhabdus,1.6185851661430065e-4,2.2905587791424036e-4
UV,T1,PP,PP_UV_T1, Candidatus Scalindua,1.7137960582690659e-4,2.655001436988803e-4
no UV,T6,PET,PET_no UV_T6, Pseudohaliea,2.387357354433981e-4,2.4304419369279318e-4
UV,T6,PET,PET_UV_T6, Aquimarina,3.054335576690153e-4,4.3307755813464806e-4
UV,T6,PET,PET_UV_T6, Thalassobius,0.0014390982337572828,7.066175973746715e-4
no UV,T6,PE,PE_no UV_T6, Synechococcus PCC-7336,2.55819902788437e-4,3.6796876552984203e-4
no UV,T6,PE,PE_no UV_T6, Granulicatella,4.847113947570385e-4,6.907382670221031e-4
no UV,T1,PP,PP_no UV_T1, [Anaerorhabdus] furcosa group,5.978738112587112e-4,9.262221256554179e-4
no UV,T1,PP,PP_no UV_T1, Parvularcula,0.0011210133961100834,0.001587327866092234
no UV,T1,PP,PP_no UV_T1, C1-B045,0.0010462791697027445,0.0014869692100476014
no UV,T6,Nylon,Nylon_no UV_T6, Pseudooceanicola,8.423798516743059e-4,4.621652733457267e-4
no UV,T6,Nylon,Nylon_no UV_T6, Oceanicola,2.4454892180848987e-4,1.9165398707645138e-4
UV,T6,PE,PE_UV_T6, Shimia,4.8221569448076297e-4,1.1001966073724399e-4
UV,T6,PE,PE_UV_T6, Aestuariibacter,9.780117932852216e-4,7.209243530630863e-4
UV,T6,PE,PE_UV_T6, Tropicimonas,0.0018726537400192173,5.735048163367559e-4
UV,T6,PE,PE_UV_T6, Cyanobacterium CLg1,5.721914934197981e-4,8.451828486088076e-4
no UV,T1,PP,PP_no UV_T1, Aliagarivorans,1.9802960542601117e-4,3.429973380006688e-4
no UV,T1,PP,PP_no UV_T1, Desulfobacterium,2.47537006782514e-4,3.7130551017377096e-4
no UV,T1,Nylon,Nylon_no UV_T1, Ekhidna,0.0027692307692307695,0.003919175024767424
UV,T6,PET,PET_UV_T6, HIMB11,0.0018409177110080722,0.0012694574823485627
UV,T1,PET,PET_UV_T1, Massilia,0.0025454025454025456,0.003606906475759288
no UV,T1,PET,PET_no UV_T1, Portibacter,0.002249913464866736,0.003183733679011198
UV,T1,PS,PS_UV_T1, Thalassospira,3.4196873905283e-4,3.471114146800448e-4
UV,T1,PS,PS_UV_T1, Undibacterium,4.253757485779105e-4,4.2747638233386605e-4
UV,T1,PE,PE_UV_T1, Corynebacterium 1,0.0016533085481849673,4.339010350951927e-4
UV,T1,PE,PE_UV_T1, Finegoldia,9.455090063749343e-4,7.306481637008064e-4
UV,T1,Nylon,Nylon_UV_T1, Phreatobacter,5.830317651789303e-4,8.262545901724682e-4
UV,T1,Nylon,Nylon_UV_T1, Candidatus Tenderia,3.8198632891033366e-4,5.535507804133481e-4
UV,T1,Nylon,Nylon_UV_T1, Lawsonella,5.186120851152856e-4,6.620168886957128e-4
no UV,T6,Nylon,Nylon_no UV_T6, Salinihabitans,0.0011843267841655906,4.0843618294064183e-4
no UV,T6,PET,PET_no UV_T6, Salmonella,3.161430579522168e-4,4.3077625843600145e-4
no UV,T1,PS,PS_no UV_T1, Verruc-01,7.457121551081282e-4,0.0010772783273894336
UV,T1,Nylon,Nylon_UV_T1, Candidatus Actinomarina,0.00211864406779661,0.0030387168033925264
UV,T1,Nylon,Nylon_UV_T1, Rubritalea,0.0033292978208232446,0.004710082929717236
no UV,T1,PE,PE_no UV_T1, Bacillus,4.905097035615269e-4,6.954990351452333e-4
no UV,T1,PE,PE_no UV_T1, Blastocatella,0.0010538714276858224,0.001495601373526413
no UV,T1,PE,PE_no UV_T1, Prevotella,0.0019217655446035584,0.0027291822797592853
NA,NA,negative_c,negative_c_, Fuerstia,9.992196615208877e-5,1.0083733227070872e-4
NA,NA,negative_c,negative_c_, Halobacillus,3.5954409808362993e-5,7.190881961672599e-5
NA,NA,negative_c,negative_c_, Parahaliea,2.902923654493034e-4,4.970582313617666e-4
NA,NA,negative_c,negative_c_, Halovulum,1.0382386107971762e-4,1.510693030267313e-4
no UV,T6,PP,PP_no UV_T6, Owenweeksia,1.4221760530286164e-4,2.0424448577572693e-4
UV,T6,PE,PE_UV_T6, Polaribacter,1.046924444127626e-4,1.3887277583619388e-4
UV,T6,Nylon,Nylon_UV_T6, Oceanicaulis,8.077237124818818e-4,1.3140835007778047e-4
UV,T6,Nylon,Nylon_UV_T6, Lutimaribacter,4.4337080636277e-4,1.1225169682285268e-4
UV,T6,Nylon,Nylon_UV_T6, Costertonia,1.7923617813318625e-4,2.5893000250075827e-4
UV,T6,Nylon,Nylon_UV_T6, Spirulina P7,1.608529803759364e-4,2.340754688066084e-4
UV,T6,Nylon,Nylon_UV_T6, Coraliomargarita,4.55023077666104e-4,1.2000911857437351e-4
no UV,T6,PS,PS_no UV_T6, Coraliomargarita,2.78209482146626e-4,3.941397036186761e-4
no UV,T6,PE,PE_no UV_T6, Wenxinia,2.9991828480009137e-4,3.755232792618797e-4
no UV,T6,PE,PE_no UV_T6, Sulfitobacter,8.813927093021471e-4,6.686715229962758e-4
no UV,T6,PE,PE_no UV_T6, Nitratireductor,1.6024904694972788e-4,1.7337066542312519e-4
no UV,T6,PET,PET_no UV_T6, Citreimonas,1.6205947042412144e-4,2.0472406161481968e-4
no UV,T6,PET,PET_no UV_T6, Sva0081 sediment group,2.696170475007462e-4,3.8367178475047503e-4
no UV,T6,PET,PET_no UV_T6, Aureisphaera,1.5406688428614072e-4,2.189594516027159e-4
UV,T6,PP,PP_UV_T6, Robiginitalea,2.489729864309722e-4,3.5330474160062756e-4
UV,T6,PP,PP_UV_T6, Pir4 lineage,3.0706668326486574e-4,4.3730532904939697e-4
UV,T6,PP,PP_UV_T6, Cyanobium PCC-6307,1.3278559276318517e-4,1.9613731912553953e-4
no UV,T6,Nylon,Nylon_no UV_T6, Shimia,3.2231525907392566e-4,3.157543208140233e-4
no UV,T6,Nylon,Nylon_no UV_T6, Oceanicaulis,5.307393080258266e-4,3.552400294096148e-4
no UV,T6,Nylon,Nylon_no UV_T6, Pantoea,5.054139078462555e-4,4.2009129372086104e-4
UV,T6,Nylon,Nylon_UV_T6, Agaribacter,3.015878831470741e-4,2.253281967808491e-4
UV,T6,Nylon,Nylon_UV_T6, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.2980901848155902e-4,1.8434739554345554e-4
no UV,T6,PP,PP_no UV_T6, Rothia,4.624683787246046e-5,6.56771325570086e-5
no UV,T6,PP,PP_no UV_T6, Hyphomonas,9.80105947488471e-4,4.6623689440046425e-4
no UV,T6,PP,PP_no UV_T6, Aeromonas,1.2029316575022107e-4,1.3404906680731892e-4
no UV,T6,PP,PP_no UV_T6, Poseidonocella,7.635866977138362e-5,7.367634420584128e-5
UV,T6,Nylon,Nylon_UV_T6, Pseudohongiella,4.059525726401467e-4,2.8267320709079075e-4
UV,T6,Nylon,Nylon_UV_T6, Pararhodospirillum,7.032348804500703e-5,1.2180385425941472e-4
UV,T6,Nylon,Nylon_UV_T6, Psychroflexus,7.969995311767464e-5,1.1398638549349555e-4
UV,T6,Nylon,Nylon_UV_T6, Cm1-21,2.1859070036428337e-4,1.6411336152564516e-4
UV,T6,Nylon,Nylon_UV_T6, Bernardetia,7.032348804500703e-5,1.0548523206751055e-4
UV,T1,PP,PP_UV_T1, Peptoniphilus,1.5233742740169474e-4,2.195415990472489e-4
UV,T1,PP,PP_UV_T1, Altererythrobacter,1.7137960582690659e-4,2.4248453347018283e-4
UV,T1,PP,PP_UV_T1, Ponticoccus,1.4281633818908883e-4,2.036772444479556e-4
no UV,T1,Nylon,Nylon_no UV_T1, Thalassolituus,5.9863212559302e-4,8.522947027813936e-4
UV,T6,PET,PET_UV_T6, Microbacterium,3.8969109081908853e-4,5.52724950331429e-4
UV,T6,PET,PET_UV_T6, Labrenzia,6.845924568443446e-4,9.707314156334467e-4
UV,T6,PET,PET_UV_T6, [Polaribacter] huanghezhanensis,0.001109616542963568,9.82451598921591e-4
UV,T6,PET,PET_UV_T6, Membranicola,3.580945158878111e-4,5.173141653658761e-4
UV,T6,PET,PET_UV_T6, Marinovum,7.989894632968884e-4,3.7743332113663447e-4
UV,T6,PET,PET_UV_T6, Enterovibrio,6.338722826341929e-4,7.046767991001067e-4
UV,T6,PET,PET_UV_T6, Maricaulis,0.003599288725990991,0.0035007695981447277
UV,T6,PET,PET_UV_T6, Pseudomonas,0.0020910664024975387,0.002002192755482804
UV,T6,PET,PET_UV_T6, Alcanivorax,0.001952675556844137,0.0012339291426202502
no UV,T6,PE,PE_no UV_T6, Maritimibacter,6.840316399672347e-4,5.195691782874731e-4
UV,T1,PET,PET_UV_T1, Corynebacterium 1,0.001973816734757066,0.0014208236293081604
UV,T1,PET,PET_UV_T1, Endozoicomonas,7.516310393554012e-4,0.00108582892654252
UV,T6,PP,PP_UV_T6, Exiguobacterium,3.7904480708614286e-4,5.425481236480225e-4
UV,T1,PE,PE_UV_T1, Phreatobacter,0.003350175746924429,0.0033606943779774462
UV,T1,PE,PE_UV_T1, Candidatus Omnitrophus,0.0012082601054481546,0.0013235826301750497
UV,T6,PE,PE_UV_T6, Haloferula,3.6868278999668103e-4,4.5821242909912147e-4
no UV,T6,PS,PS_no UV_T6, Rhodococcus,0.002374703162104737,0.003365825359568484
no UV,T6,PS,PS_no UV_T6, Lysobacter,6.874140732408448e-4,9.812786774915168e-4
no UV,T1,Nylon,Nylon_no UV_T1, Massilia,0.0017435897435897438,0.0024707153485723997
UV,T1,PET,PET_UV_T1, Brevundimonas,0.0016588016588016587,0.002349277630404337
UV,T1,PS,PS_UV_T1, Rothia,0.0010900745840504876,0.0010969520944470366
UV,T1,PE,PE_UV_T1, Tepidimonas,4.7429758785798174e-4,4.7892499097684646e-4
UV,T1,Nylon,Nylon_UV_T1, Pseudoxanthomonas,5.026135906714917e-4,7.171213293209755e-4
no UV,T1,PS,PS_no UV_T1, Bacillus,0.0010253542132736763,0.0014538608733649448
no UV,T1,PS,PS_no UV_T1, Massilia,0.004538455304319637,0.006431117882183846
UV,T1,Nylon,Nylon_UV_T1, Marinoscillum,0.0016142050040355122,0.0022844866344817164
no UV,T1,PE,PE_no UV_T1, Winogradskyella,0.002417705039985122,0.003419859376096033
NA,NA,negative_c,negative_c_, Roseicitreum,7.743546118476283e-5,9.225696010262123e-5
NA,NA,negative_c,negative_c_, Actinomyces,5.617876532556718e-5,9.756997286730691e-5
NA,NA,negative_c,negative_c_, Constrictibacter,4.044871103440837e-5,7.489645937109412e-5
NA,NA,negative_c,negative_c_, Flavobacterium,4.8077278869185076e-5,5.0952472246069563e-05
NA,NA,negative_c,negative_c_, Janthinobacterium,3.542885454309966e-5,3.715509221495758e-5
UV,T6,PS,PS_UV_T6, Defluviimonas,1.2468158433019886e-4,7.045106413019575e-6
no UV,T6,PP,PP_no UV_T6, Psychrobacter,2.3496821745690185e-4,3.3484160076906536e-4
no UV,T6,PP,PP_no UV_T6, Sphingorhabdus,1.9394555306348225e-4,2.3169577098033643e-4
no UV,T6,PP,PP_no UV_T6, Constrictibacter,8.656723801043753e-5,1.3410938845663932e-4
no UV,T6,PP,PP_no UV_T6, Salinirepens,5.144704205844359e-4,5.192953540991951e-4
no UV,T6,PP,PP_no UV_T6, Shewanella,2.604307111369962e-4,1.842894134374745e-4
UV,T6,PE,PE_UV_T6, Algimonas,1.719331834763939e-4,1.853461960515685e-4
UV,T6,PE,PE_UV_T6, Croceitalea,4.136144827175591e-4,3.6702146978574837e-4
UV,T6,Nylon,Nylon_UV_T6, Pseudochrobactrum,1.0570338710418676e-4,1.5270230916711384e-4
UV,T6,Nylon,Nylon_UV_T6, Candidatus Captivus,1.2408658486143666e-4,1.92234110662439e-4
no UV,T6,PS,PS_no UV_T6, Candidatus Endobugula,1.8474098093980697e-4,1.99227948091006e-4
no UV,T6,PS,PS_no UV_T6, Robiginitomaculum,2.686160517277768e-4,3.8052161234221175e-4
no UV,T6,PE,PE_no UV_T6, Hyphomonas,0.0017541358109768963,0.001301201298902309
no UV,T6,PE,PE_no UV_T6, Pelagibius,2.1661946046499188e-4,2.793097163919121e-4
no UV,T6,PE,PE_no UV_T6, Shimia,6.144096070107191e-4,4.354149591685161e-4
no UV,T6,PE,PE_no UV_T6, Candidatus Endoecteinascidia,3.5279551850212046e-4,2.505068452607449e-4
UV,T6,PP,PP_UV_T6, Xuhuaishuia,2.668326765139968e-4,2.6407147422801325e-4
no UV,T6,PET,PET_no UV_T6, FS142-36B-02,1.444377040182569e-4,2.0642736257055677e-4
no UV,T6,PET,PET_no UV_T6, Desulfofustis,1.348085237503731e-4,2.3349521242900197e-4
no UV,T6,PET,PET_no UV_T6, Hyphomonas,6.263577575654805e-4,6.556153694804554e-4
UV,T6,PP,PP_UV_T6, Legionella,2.4067388688327312e-4,3.5549889091504035e-4
UV,T6,PP,PP_UV_T6, Pseudaminobacter,4.0970334411012134e-4,2.476553392751836e-4
UV,T6,PP,PP_UV_T6, Oceanicola,2.9654061574370334e-4,1.2530076059305445e-4
no UV,T6,Nylon,Nylon_no UV_T6, Solirubrobacter,2.1198705248310222e-4,3.037140194326224e-4
no UV,T6,Nylon,Nylon_no UV_T6, Altererythrobacter,3.4242657141530153e-4,4.336513604360957e-4
no UV,T6,Nylon,Nylon_no UV_T6, Pseudophaeobacter,2.890040347059351e-4,1.6392219563098238e-4
UV,T6,Nylon,Nylon_UV_T6, C1-B045,1.4856194862689423e-4,1.7270766978107e-4
no UV,T6,PP,PP_no UV_T6, Pseudomaricurvus,3.855616065432501e-5,5.155749328279478e-5
no UV,T6,PP,PP_no UV_T6, Hwanghaeicola,8.178839237771991e-5,6.360572539227672e-5
UV,T6,Nylon,Nylon_UV_T6, Photobacterium,7.688442805469894e-4,6.566358527693922e-4
UV,T6,Nylon,Nylon_UV_T6, Agarivorans,2.1798740838827797e-4,1.570210660662559e-4
UV,T6,Nylon,Nylon_UV_T6, Rubripirellula,1.640881387716831e-4,2.3300477818653995e-4
UV,T1,PP,PP_UV_T1, Prochlorococcus MIT9313,3.4275921165381317e-4,4.868748453196425e-4
UV,T1,PP,PP_UV_T1, Microbacterium,2.1898505188993621e-4,3.106011525046173e-4
UV,T1,PP,PP_UV_T1, Salinirepens,3.1419594401599544e-4,4.4496909717048393e-4
UV,T1,PP,PP_UV_T1, OM60(NOR5) clade,2.9515376559078357e-4,4.176441053542084e-4
UV,T1,PP,PP_UV_T1, Pseudahrensia,1.9994287346472437e-4,2.8280577260930993e-4
no UV,T1,Nylon,Nylon_no UV_T1, Blastococcus,2.3945285023720797e-4,3.709587604682421e-4
no UV,T6,PET,PET_no UV_T6, Congregibacter,1.4087074694641937e-4,2.0082151783163514e-4
UV,T6,PET,PET_UV_T6, Litoreibacter,6.018615719026457e-4,4.36391307214944e-4
UV,T6,PET,PET_UV_T6, Hwanghaeicola,1.5798287465638723e-4,2.2634219072052163e-4
UV,T6,PET,PET_UV_T6, Marinibacterium,2.9490136602525614e-4,4.1867945717718216e-4
UV,T6,PET,PET_UV_T6, Ponticoccus,3.2414302114761994e-4,2.3491088480959504e-4
UV,T6,PET,PET_UV_T6, Congregibacter,2.441811918151044e-4,1.8497057191997794e-4
UV,T6,PS,PS_UV_T6, endosymbionts2,7.754385381875786e-5,1.2013042177631663e-4
no UV,T1,PP,PP_no UV_T1, Roseovarius,5.373961035391986e-4,4.148728785190545e-4
no UV,T1,PP,PP_no UV_T1, Bartonella,5.605066980550417e-4,8.27923262009973e-4
UV,T1,PET,PET_UV_T1, Maritimimonas,9.320224888006975e-4,0.001322091269952741
UV,T6,PP,PP_UV_T6, Rothia,4.934616915960712e-4,4.483729003860444e-4
UV,T1,PE,PE_UV_T1, Citreimonas,7.688927943760984e-4,8.422798555659408e-4
UV,T1,PE,PE_UV_T1, Anaerococcus,8.238137082601055e-4,8.315492179528336e-4
UV,T1,PE,PE_UV_T1, Laceyella,0.0010434973637961336,0.0011430940896966341
UV,T6,PE,PE_UV_T6, Microbacterium,5.952720078318312e-4,4.1171022123793897e-4
